Welcome to the DougScore!,,,WEEKEND,,,,,TOTAL,DAILY,,,,,TOTAL,DOUGSCORE,Video Link,Filming Location,,Vehicle Country
,,,Styling,Acceleration,Handling,Fun Factor,Cool Factor,,Features,Comfort,Quality,Practicality,Value,,,,,,
,,,,,,,,,,,,,,,,,,,
2020,McLaren,Speedtail,8,10,10,10,10,48,7,4,7,2,6,26,74,38:57:00,Columbus,Ohio,UK
1994,McLaren,F1,8,9,10,10,10,47,2,3,9,3,10,27,74,39:50:00,Burbank,California,UK
2022,Lucid,Air Dream Edition,7,10,6,7,8,38,9,8,7,5,6,35,73,39:40:00,Los Angeles,California,USA
2022,GMC,Hummer EV Pickup,5,9,4,9,7,34,9,7,7,9,7,39,73,33:42:00,Detroit,Michigan,USA
2021,Rivian,R1T,7,9,5,9,7,37,7,6,6,9,8,36,73,44:48:00,San Diego,California,USA
2021,Tesla,Model S Plaid,6,10,6,8,7,37,9,7,6,7,7,36,73,38:32:00,Los Angeles,California,USA
2019,Bugatti,Divo,8,10,9,10,10,47,6,5,7,1,7,26,73,38:36:00,Palm Beach,Florida,France
2021,Bugatti,Chiron Pur Sport,9,10,9,10,10,48,6,5,7,1,6,25,73,31:04:00,Newport Beach,California,France
2018,Bugatti,Chiron,9,10,9,10,10,48,6,5,7,1,6,25,73,35:06:00,Toronto,Ontario,France
2020,Ferrari,Monza SP1,9,10,10,10,10,49,5,2,8,1,7,23,72,32:13:00,Thermal,California,Italy
2021,Mercedes,AMG E63 Wagon,7,9,6,7,6,35,9,7,7,8,6,37,72,26:44:00,Sacramento,California,Germany
2021,Rimac,Nevera,7,10,10,10,10,47,7,3,6,2,7,25,72,35:26:00,Los Angeles,California,Croatia
2021,Koenigsegg,Regera,8,10,10,10,10,48,6,3,8,1,6,24,72,38:01:00,Columbus,Ohio,Sweden
2021,McLaren,Sabre,8,10,10,10,9,47,6,3,8,2,6,25,72,15:01,Columbus,Ohio,UK
2021,Ferrari,SF90 Stradale,8,10,10,9,9,46,6,4,8,2,6,26,72,35:34:00,Los Angeles,California,Italy
2021,Audi,RS6 Avant,7,8,6,7,7,35,9,7,8,8,5,37,72,28:12:00,Costa Mesa,California,Germany
2020,Porsche,Taycan Turbo S,7,10,6,8,8,39,8,7,8,5,5,33,72,35:19:00,Los Angeles,California,Germany
2015,Ferrari,LaFerrari,9,10,10,10,10,49,6,3,7,1,6,23,72,38:04:00,Los Angeles,California,Italy
2019,Ferrari,488 Pista,8,10,10,10,8,46,6,4,8,2,6,26,72,22:21,Newport Coast,California,Italy
2018,Koenigsegg,Agera RS1,8,10,10,10,10,48,6,3,8,1,6,24,72,38:23:00,Calabasas,California,Sweden
2019,Mercedes-Benz,GT63S 4-Door,7,9,7,8,6,37,9,7,7,6,6,35,72,25:13:00,Newport Beach,California,Germany
2018,Mercedes-Benz,E63S AMG Wagon,7,9,6,7,6,35,9,7,7,8,6,37,72,27:19:00,Hunt Valley,Maryland,Germany
2015,Porsche,918 Spyder,8,10,10,10,10,48,6,3,8,1,6,24,72,29:49:00,Franklin,Tennessee,Germany
2022,Tesla,Model X Plaid,5,10,5,7,6,33,9,7,6,9,7,38,71,37:08:00,Los Angeles,California,USA
2022,Porsche,Taycan GTS Sport Turismo,7,9,6,8,7,37,8,7,8,6,5,34,71,24:04:00,San Diego,California,Germany
2021,Porsche,Taycan Turbo CrossTurismo,7,9,6,8,7,37,8,7,8,6,5,34,71,26:41:00,San Diego,California,Germany
2022,Audi,RS E-Tron GT,7,9,6,8,7,37,8,7,8,5,6,34,71,24:16:00,Los Angeles,California,Germany
2020,Ferrari,812 GTS,8,10,9,9,9,45,6,5,8,2,5,26,71,24:45:00,Los Angeles,California,Italy
2018,Ferrari,812 Superfast,8,10,9,9,8,44,6,5,8,2,6,27,71,25:18:00,Los Angeles,California,Italy
2020,Ferrari,F8 Tributo,9,10,9,9,8,45,6,4,8,2,6,26,71,24:10:00,Los Angeles,California,Italy
2020,Lamborghini,Huracan Evo Spyder,8,10,10,9,8,45,6,4,8,2,6,26,71,24:29:00,San Diego,California,Italy
2014,McLaren,P1,8,10,10,10,10,48,6,3,7,1,6,23,71,38:13:00,Newport Beach,California,UK
2019,McLaren,Senna,7,10,10,10,10,47,6,2,8,1,7,24,71,33:51:00,Boerne,Texas,UK
2019,Lamborghini,Urus,6,8,6,7,7,34,8,7,8,8,6,37,71,19:47,La Jolla,California,Italy
2015,Ferrari,458 Speciale A,8,9,10,10,8,45,6,4,8,2,6,26,71,21:12,Irvine,California,Italy
2018,Porsche,911 GT2RS,7,10,10,10,9,46,6,3,8,2,6,25,71,21:30,Redwood City,California,Germany
2015,Lamborghini,Huracan,8,10,9,9,8,44,6,4,8,2,7,27,71,12:25,Alpharetta,Georgia,Italy
2005,Porsche,Carrera GT,9,9,10,10,10,48,3,3,9,1,7,23,71,10:40,Beachwood,Ohio,Germany
2020,McLaren,Elva,9,10,10,10,10,49,5,2,7,1,6,21,70,29:32:00,San Diego,California,UK
2022,Porsche,Cayenne Turbo GT,7,9,6,6,6,34,8,6,8,8,6,36,70,24:29:00,San Diego,California,Germany
2015,Ferrari,F12 Berlinetta,8,9,9,9,8,43,6,5,7,2,7,27,70,20:00,San Diego,California,Italy
2021,Ferrari,Roma,8,9,8,8,7,40,7,5,8,3,7,30,70,27:30:00,Orange County,California,Italy
2021,McLaren,765LT,8,10,10,9,9,46,6,3,7,2,6,24,70,13:16,San Diego,California,UK
2019,Aston Martin,Vanquish Shooting Brake,9,8,7,8,9,41,6,5,8,4,6,29,70,27:22:00,Newport Beach,California,UK
2021,Audi,RS7,7,9,6,7,6,35,9,7,8,6,5,35,70,20:08,Los Angeles,California,Germany
2021,Lamborghini,Centenario,9,10,9,10,10,48,6,3,7,1,5,22,70,30:14:00,Newport Beach,California,Italy
2020,Porsche,Cayenne Turbo S Coupe,7,8,6,6,6,33,8,7,8,8,6,37,70,26:27:00,San Diego,California,Germany
2019,Ford,GT,8,10,10,10,10,48,6,2,7,1,6,22,70,35:53:00,Huntington Beach,California,USA
2019,McLaren,720S Spider,8,10,9,10,8,45,6,4,7,2,6,25,70,23:16,San Diego,California,UK
2016,Ferrari,488 Spider,9,9,9,9,8,44,6,4,8,2,6,26,70,15:02,Colts Neck,New Jersey,Italy
